Time (milliseconds)	ax	ay	az	mx	my	mz	ts	alti
370092	80	-80	-1008	18450	12750	79950	370069	395.4533
370139	80	-32	-992	18150	13350	80400	370117	395.6065
370195	48	-64	-1024	18150	13200	80100	370171	395.1177
370265	80	-48	-480	18450	13350	79950	370243	396.1588
370300	16	-48	-1264	19500	12150	80700	370275	395.8523
370342	80	-160	-1456	18750	12150	80400	370321	396.0954
370391	-96	-352	-1232	18150	12750	80550	370369	395.6065
370438	-32	-96	-272	18300	13650	80850	370417	395.6065
370504	80	-16	-1392	18150	12750	80700	370483	395.9157
370541	-16	-64	-976	18750	13650	81150	370519	395.4242
370589	144	-48	-784	18000	13050	79800	370568	395.8258
370642	32	-80	-1008	18900	12750	80550	370621	395.271
370692	128	-48	-1008	19050	12300	79800	370670	395.6699
370760	64	-48	-1024	17550	12450	79950	370739	395.1785
370792	96	-16	-1008	18300	12300	81150	370771	395.9157
370843	64	-48	-1008	18450	12300	80700	370819	395.4903
370888	112	-80	-1024	18750	12600	80100	370867	395.5801
370957	64	-96	-848	18900	13500	80700	370935	395.736
370990	32	96	-48	17100	13050	80250	370969	395.2445
371040	16	0	-976	18450	12450	80550	371017	395.736
371093	176	-144	-1152	18450	12750	79950	371071	396.2248
371143	-16	-112	-864	19200	13200	80400	371119	395.2445
371213	96	-80	-1120	17250	12450	80550	371191	395.8892
371245	16	-32	-1136	18000	12450	79800	371223	396.1324
371291	128	-32	-1008	18300	13200	80400	371269	396.9303
371339	48	-64	-992	18000	12600	80850	371317	396.1958
371393	80	-16	-1008	18300	12750	79800	371371	395.2155
371460	48	-64	-992	18900	13050	80700	371439	395.3714
371492	80	-16	-1008	18600	12750	80850	371470	396.5049
371544	96	-128	-1008	18600	13500	80700	371521	396.1693
371593	32	0	-976	18300	13500	81000	371569	395.8602
371639	80	-64	-912	18300	13350	80700	371617	395.8364
371704	0	304	480	18600	12900	79950	371683	395.189
371741	80	-160	-1008	18300	12600	80400	371720	395.2525
371788	96	-64	-1072	18150	13350	80100	371767	395.189
371844	48	-64	-1008	19050	12600	80100	371822	395.7439
371890	48	48	-1040	17700	13050	80100	371869	395.8073
371956	32	-32	-976	18900	12450	79950	371935	396.3596
371993	48	-32	-992	18600	12900	80400	371971	395.8073
372040	48	0	-1008	17850	12300	81000	372019	395.625
372089	16	-96	-992	18150	13350	80850	372067	394.6447
372143	64	-16	-1008	19050	12150	80550	372121	395.9342
372212	112	-80	-1056	18750	12900	79950	372191	395.625
372244	112	-80	-1008	18450	12750	80100	372222	395.1362
372294	48	0	-1024	18450	12600	80700	372271	395.4453
372340	176	-224	-1008	18150	12300	79950	372319	394.6447
372408	80	16	-1120	18000	13500	80850	372387	394.9565
372443	96	-224	-1088	18300	12450	80850	372421	395.9342
372492	48	-16	-928	18450	12000	80400	372469	396.09
372539	128	-96	-1088	18600	13050	80100	372517	395.5986
372595	48	-32	-1008	17850	13200	80550	372571	394.9565
372664	32	64	-1024	18000	12900	80550	372642	395.1098
372696	48	-96	-1040	18900	12750	79800	372674	394.7742
372743	112	-96	-1024	19050	12450	80250	372721	394.5919
372792	48	0	-992	18450	13200	80100	372769	394.9909
372839	112	-48	-816	18000	12450	80850	372817	395.5722
372907	16	-64	-672	18900	12600	81000	372883	395.3661
372941	16	208	-3296	18750	12750	79950	372919	395.2102
372988	80	-64	-1488	17850	12750	80550	372967	395.6752
373042	64	-16	-992	18750	13200	80550	373021	395.8945
373092	80	-144	-1040	18150	12600	80850	373070	394.6685
373160	64	-32	-992	18150	12750	79800	373139	395.2868
373192	32	-112	-1040	18300	13650	80100	373171	395.3766
373242	64	-48	-1008	19050	13500	80700	373219	395.8417
373290	32	0	-1024	18750	13050	80400	373268	396.1509
373480	80	-64	-1104	18150	12600	80550	373459	395.0543
373512	112	-48	-1008	18300	12000	81150	373490	395.0807
373544	80	-64	-1008	18750	13050	79950	373522	395.234
373575	160	-128	-464	18450	12750	79650	373554	395.8787
373608	64	-144	-1152	19350	12450	80250	373586	394.7451
373676	96	64	-1136	19050	12600	80100	373655	395.3
373709	32	-16	-736	18000	13200	80100	373688	395.234
373740	80	-96	-1088	18600	13200	80550	373718	394.5919
373773	112	64	-928	18750	12300	80400	373750	395.3898
373804	176	-304	-1312	18750	13200	80550	373782	394.4994
373872	32	32	-992	18300	12600	80550	373850	394.8984
373904	80	-16	-1024	17850	12600	80250	373882	395.3
373943	64	-96	-1008	17850	12900	79800	373921	394.8376
373992	80	-16	-992	18450	12300	79500	373970	395.4533
374039	32	-64	-1008	18900	13650	80400	374017	394.2299
374104	48	0	-1008	18450	12750	80550	374083	395.3634
374141	96	-80	-992	18450	12450	79350	374119	395.1204
374192	32	-48	-1120	18750	13200	79950	374167	395.3397
374242	64	-64	-1296	18150	12750	80100	374221	395.1811
374292	48	-16	-1808	18000	12450	80400	374269	394.4466
374360	48	448	-2128	17700	12600	80250	374339	395.7386
374394	48	-176	-960	18600	11700	80700	374371	394.6923
374440	112	-96	-1072	18750	12900	79800	374419	394.6923
374490	-16	-16	-1296	18900	12450	79650	374467	395.0015
374556	144	-112	-992	17850	12150	80550	374535	395.4031
374591	32	-32	-1008	17850	13200	81000	374569	395.0675
374638	80	-16	-1008	18450	13200	80100	374617	394.9116
374694	80	-16	-992	18600	12600	79350	374671	395.5563
374740	64	-48	-992	18450	12900	79200	374719	395.3132
374810	80	-16	-992	18450	13050	79800	374786	394.7583
374842	96	0	-464	18750	12750	80250	374821	395.5563
