millis	ax	ay	az	mx	my	mz
28088	12	80	-1100	-41550	29700	-15750
28136	16	76	-952	-40200	29550	-14700
28184	12	20	-944	-42300	29400	-15450
28273	44	-108	-1112	-44550	28050	-15600
28288	44	-108	-1112	-44550	28050	-15600
28334	52	-32	-1092	-45600	28350	-17100
28391	12	-20	-1060	-45300	27150	-16500
28436	44	-28	-1024	-46200	26700	-16350
28484	16	8	-1112	-45750	27150	-17250
28538	60	4	-1088	-47400	27150	-16800
28586	24	108	-1168	-47550	26550	-17550
28634	-20	264	-1368	-47250	24150	-15600
28689	-96	160	-1196	-44850	22350	-15000
28736	-12	156	-1140	-43500	21450	-13200
28784	4	152	-1020	-42300	21150	-13050
28838	32	148	-960	-40350	19050	-13350
28893	60	68	-972	-40200	17100	-12300
28934	88	-92	-872	-40200	15750	-12000
28988	48	-80	-1052	-42600	14850	-12300
29036	32	-72	-1020	-41700	12600	-12600
29084	0	-56	-956	-43350	12750	-13650
29138	-8	-116	-916	-46050	12150	-14100
29186	8	-168	-976	-47700	12750	-15750
29242	-4	68	-1268	-50100	11250	-14850
29288	-4	196	-1304	-50700	10200	-16500
29336	52	124	-1116	-50550	11250	-16200
29384	16	-156	-1236	-49500	11250	-15900
29438	-40	-684	-2040	-51300	9300	-16500
29487	-244	-492	-528	-47400	24900	-16650
29574	260	-236	-64	-37950	39750	-19200
29588	380	24	84	-36000	42000	-19950
29636	96	580	-892	-34200	46050	-23100
29684	176	-192	-284	-33300	48750	-25950
29738	16	-48	-1036	-40050	50550	-30450
29787	668	388	-1416	-44550	49350	-30600
29834	228	616	-2040	-46200	45000	-27300
29889	388	-768	-1180	-49650	42900	-27300
29936	-24	-1596	-1360	-53100	38400	-26850
29986	420	-8	-1580	-57150	33600	-25950
30038	-408	1820	-2040	-54750	30750	-23100
30086	672	-520	-1440	-53850	18000	-18600
30134	712	-1164	-60	-51300	13500	-17400
30190	392	-420	-684	-52800	10950	-17550
30236	396	-180	-796	-53250	10950	-18300
30284	272	56	-1132	-54150	11850	-18000
30338	384	312	-812	-54750	14550	-18000
30386	172	444	-780	-56250	18150	-19500
30434	296	-72	-968	-56250	19050	-21300
30488	900	24	-1440	-57300	22200	-21900
